tt_label,session_number,speaker2,task,ipu2_start_time,ipu2_end_time,overlapped_transition
X3,1,A,5,198.3701,199.0801,False
#,1,A,5,199.0801,199.9439,False
O,1,A,5,199.9439,201.4701,True
#,1,A,5,201.4701,202.7901,False
S,1,A,5,202.7901,204.3527,False
#,1,A,5,204.3527,216.7824,False
S,1,A,5,216.7824,219.8728,False
#,1,A,5,219.8728,222.2992,False
O,1,A,5,222.2992,222.6136,True
X3,1,A,6,252.3551,252.7369,False
#,1,A,6,252.7369,253.5854,False
S,1,A,6,253.5854,254.6787,False
#,1,A,6,254.6787,255.6771,False
S,1,A,6,255.6771,256.2471,False
#,1,A,6,256.2471,256.8071,False
S,1,A,6,256.8071,257.5771,False
#,1,A,6,257.5771,262.1214,False
S,1,A,6,262.1214,263.9383,False
#,1,A,6,263.9383,281.7363,False
A,1,A,6,281.7363,282.0761,False
#,1,A,6,282.0761,289.6192,False
BC_O,1,A,6,289.6192,290.0092,False
#,1,A,6,290.0092,292.4163,False
S,1,A,6,292.4163,292.9085,False
X1,1,A,7,301.7943,303.6403,False
#,1,A,7,303.6403,304.8386,False
X2,1,A,7,304.8386,312.2286,False
#,1,A,7,312.2286,312.875,False
O,1,A,7,312.875,313.9986,True
#,1,A,7,313.9986,319.9906,False
S,1,A,7,319.9906,320.4783,False
#,1,A,7,320.4783,325.6365,False
PI,1,A,7,325.6365,336.6879,False
BC,1,A,8,346.7165,347.1148,False
#,1,A,8,347.1148,349.4027,False
S,1,A,8,349.4027,349.9173,False
#,1,A,8,349.9173,353.3995,False
S,1,A,8,353.3995,354.6095,False
#,1,A,8,354.6095,361.0721,False
I,1,A,8,361.0721,361.6321,True
#,1,A,8,361.6321,363.0454,False
I,1,A,8,363.0454,363.5055,True
#,1,A,8,363.5055,376.7106,False
BC_O,1,A,8,376.7106,377.0606,False
#,1,A,8,377.0606,378.4301,False
O,1,A,8,378.4301,378.71,True
X1,1,A,9,384.9818,388.8307,False
#,1,A,9,388.8307,389.809,False
X2,1,A,9,389.809,391.057,False
#,1,A,9,391.057,392.2857,False
X3,1,A,9,392.2857,399.4339,False
#,1,A,9,399.4339,400.1119,False
X2,1,A,9,400.1119,400.9635,False
#,1,A,9,400.9635,401.4105,False
X2_O,1,A,9,401.4105,402.2383,False
#,1,A,9,402.2383,403.137,False
X3,1,A,9,403.137,405.3748,False
#,1,A,9,405.3748,405.537,False
X3,1,A,9,405.537,405.903,False
#,1,A,9,405.903,405.977,False
X3,1,A,9,405.977,406.9041,False
#,1,A,9,406.9041,409.0506,False
S,1,A,9,409.0506,409.3426,False
#,1,A,9,409.3426,410.3106,False
S,1,A,9,410.3106,411.8533,False
#,1,A,9,411.8533,412.3441,False
X2,1,A,9,412.3441,414.1006,False
#,1,A,9,414.1006,417.4887,False
S,1,A,9,417.4887,420.7188,False
#,1,A,9,420.7188,421.1488,False
O,1,A,9,421.1488,421.8087,True
#,1,A,9,421.8087,425.0607,False
S,1,A,9,425.0607,427.6356,False
#,1,A,9,427.6356,432.0438,False
S,1,A,9,432.0438,435.8001,False
#,1,A,9,435.8001,442.038,False
S,1,A,9,442.038,452.2541,False
#,1,A,9,452.2541,452.6245,False
X3,1,A,9,452.6245,456.2543,False
#,1,A,9,456.2543,470.5847,False
S,1,A,9,470.5847,472.1905,False
#,1,A,9,472.1905,472.3064,False
X3,1,A,9,472.3064,473.0542,False
#,1,A,9,473.0542,476.94,False
S,1,A,9,476.94,477.8355,False
#,1,A,9,477.8355,478.32,False
X3,1,A,9,478.32,479.14,False
X1,1,A,10,482.5901,483.4525,False
#,1,A,10,483.4525,489.5119,False
BC,1,A,10,489.5119,489.699,False
#,1,A,10,489.699,493.2212,False
PI,1,A,10,493.2212,495.4912,False
#,1,A,10,495.4912,510.3027,False
BC,1,A,10,510.3027,510.5971,False
#,1,A,10,510.5971,520.0624,False
A,1,A,10,520.0624,520.4924,False
#,1,A,10,520.4924,521.7149,False
S,1,A,10,521.7149,521.8725,False
#,1,A,10,521.8725,522.5963,False
O,1,A,10,522.5963,523.1964,True
#,1,A,10,523.1964,525.6053,False
BC_O,1,A,10,525.6053,525.8752,False
#,1,A,10,525.8752,537.6123,False
BC,1,A,10,537.6123,537.9303,False
#,1,A,10,537.9303,548.3318,False
A,1,A,10,548.3318,549.1,False
#,1,A,10,549.1,557.7663,False
PI,1,A,10,557.7663,558.5149,False
#,1,A,10,558.5149,559.6367,False
S,1,A,10,559.6367,560.1263,False
#,1,A,10,560.1263,560.7651,False
I,1,A,10,560.7651,561.7936,True
#,1,A,10,561.7936,565.8577,False
S,1,A,10,565.8577,566.0034,False
X1,1,A,11,575.539,576.2816,False
#,1,A,11,576.2816,577.6962,False
X2,1,A,11,577.6962,588.4218,False
#,1,A,11,588.4218,589.7418,False
S,1,A,11,589.7418,594.6053,False
#,1,A,11,594.6053,595.1992,False
X2,1,A,11,595.1992,597.0375,False
#,1,A,11,597.0375,598.3487,False
S,1,A,11,598.3487,601.5765,False
#,1,A,11,601.5765,601.7431,False
X3,1,A,11,601.7431,605.1618,False
#,1,A,11,605.1618,607.1229,False
S,1,A,11,607.1229,607.2844,False
#,1,A,11,607.2844,607.8829,False
O,1,A,11,607.8829,611.0381,True
BC,1,A,12,622.8764,623.0797,False
#,1,A,12,623.0797,625.2327,False
S,1,A,12,625.2327,627.3384,False
#,1,A,12,627.3384,628.2417,False
A,1,A,12,628.2417,628.6923,False
#,1,A,12,628.6923,629.9906,False
S,1,A,12,629.9906,630.9864,False
#,1,A,12,630.9864,633.123,False
S,1,A,12,633.123,633.3404,False
#,1,A,12,633.3404,638.2264,False
BC,1,A,12,638.2264,638.5087,False
#,1,A,12,638.5087,641.3854,False
S,1,A,12,641.3854,641.9745,False
#,1,A,12,641.9745,644.6719,False
O,1,A,12,644.6719,644.956,True
#,1,A,12,644.956,652.9098,False
S,1,A,12,652.9098,653.4785,False
#,1,A,12,653.4785,654.5304,False
S,1,A,12,654.5304,658.4398,False
#,1,A,12,658.4398,658.6576,False
X3,1,A,12,658.6576,659.1098,False
#,1,A,12,659.1098,659.4711,False
A,1,A,12,659.4711,660.0898,False
#,1,A,12,660.0898,660.4067,False
BI,1,A,12,660.4067,661.0128,True
#,1,A,12,661.0128,661.4932,False
I,1,A,12,661.4932,663.1998,True
#,1,A,12,663.1998,664.3722,False
S,1,A,12,664.3722,665.3998,False
#,1,A,12,665.3998,665.4898,False
X3,1,A,12,665.4898,665.9393,False
#,1,A,12,665.9393,670.1359,False
PI,1,A,12,670.1359,671.9174,False
#,1,A,12,671.9174,688.5498,False
BC,1,A,12,688.5498,688.8555,False
#,1,A,12,688.8555,690.0416,False
O,1,A,12,690.0416,691.0136,True
#,1,A,12,691.0136,693.3902,False
S,1,A,12,693.3902,693.6111,False
#,1,A,12,693.6111,697.8836,False
I,1,A,12,697.8836,698.8836,True
#,1,A,12,698.8836,699.9602,False
PI,1,A,12,699.9602,700.3231,False
X1,1,A,13,706.8486,707.3841,False
#,1,A,13,707.3841,708.8621,False
O,1,A,13,708.8621,714.9341,True
#,1,A,13,714.9341,717.3839,False
S,1,A,13,717.3839,718.8139,False
#,1,A,13,718.8139,720.3074,False
S,1,A,13,720.3074,724.5339,False
#,1,A,13,724.5339,725.3639,False
O,1,A,13,725.3639,727.8367,True
#,1,A,13,727.8367,729.8345,False
O,1,A,13,729.8345,731.0265,True
#,1,A,13,731.0265,731.631,False
I,1,A,13,731.631,733.9043,True
#,1,A,13,733.9043,734.695,False
O,1,A,13,734.695,735.541,True
#,1,A,13,735.541,736.4044,False
O,1,A,13,736.4044,737.0253,True
#,1,A,13,737.0253,737.5547,False
X2,1,A,13,737.5547,744.4736,False
#,1,A,13,744.4736,748.2761,False
O,1,A,13,748.2761,750.4561,True
#,1,A,13,750.4561,758.3836,False
A,1,A,13,758.3836,758.7596,False
#,1,A,13,758.7596,758.8996,False
O,1,A,13,758.8996,760.7496,True
BC,1,A,14,772.8204,773.108,False
#,1,A,14,773.108,778.3599,False
S,1,A,14,778.3599,779.0691,False
#,1,A,14,779.0691,780.8087,False
S,1,A,14,780.8087,782.4699,False
#,1,A,14,782.4699,784.5409,False
PI,1,A,14,784.5409,786.3556,False
#,1,A,14,786.3556,794.821,False
A,1,A,14,794.821,795.141,False
#,1,A,14,795.141,805.1634,False
S,1,A,14,805.1634,806.1311,False
#,1,A,14,806.1311,806.9355,False
X3,1,A,14,806.9355,807.1691,False
#,1,A,14,807.1691,808.8851,False
BC,1,A,14,808.8851,809.2169,False
#,1,A,14,809.2169,811.1928,False
PI,1,A,14,811.1928,811.8377,False
#,1,A,14,811.8377,813.1028,False
PI,1,A,14,813.1028,813.3828,False
#,1,A,14,813.3828,813.7165,False
I,1,A,14,813.7165,815.4016,True
#,1,A,14,815.4016,822.3183,False
S,1,A,14,822.3183,823.3472,False
#,1,A,14,823.3472,824.4388,False
S,1,A,14,824.4388,825.4436,False
#,1,A,14,825.4436,827.1092,False
S,1,A,14,827.1092,827.396,False
#,1,A,14,827.396,829.8217,False
PI,1,A,14,829.8217,832.2744,False
#,1,A,14,832.2744,832.6111,False
I,1,A,14,832.6111,833.0051,True
#,1,A,14,833.0051,848.7256,False
PI,1,A,14,848.7256,849.0202,False
#,1,A,14,849.0202,851.1456,False
S,1,A,14,851.1456,854.4114,False
#,1,A,14,854.4114,854.4714,False
X3,1,A,14,854.4714,855.1163,False
#,1,A,14,855.1163,855.8214,False
PI,1,A,14,855.8214,856.2427,False
#,1,A,14,856.2427,856.4214,False
A,1,A,14,856.4214,856.8599,False
#,1,A,14,856.8599,857.0839,False
O,1,A,14,857.0839,857.3153,True
BC,1,B,1,2.4321,2.8471,False
#,1,B,1,2.8471,10.5556,False
S,1,B,1,10.5556,11.84,False
#,1,B,1,11.84,13.3987,False
S,1,B,1,13.3987,18.85,False
#,1,B,1,18.85,20.21,False
X3,1,B,1,20.21,22.8504,False
#,1,B,1,22.8504,25.0365,False
S,1,B,1,25.0365,25.7446,False
#,1,B,1,25.7446,27.2642,False
S,1,B,1,27.2642,32.5905,False
#,1,B,1,32.5905,33.4746,False
X3,1,B,1,33.4746,41.6522,False
X1,1,B,2,48.2265,50.1964,False
#,1,B,2,50.1964,51.6472,False
X2,1,B,2,51.6472,52.738,False
#,1,B,2,52.738,53.0575,False
X3,1,B,2,53.0575,55.0573,False
#,1,B,2,55.0573,55.6421,False
X2,1,B,2,55.6421,56.6172,False
#,1,B,2,56.6172,58.1432,False
S,1,B,2,58.1432,60.5273,False
#,1,B,2,60.5273,62.0573,False
X2_O,1,B,2,62.0573,72.4873,False
#,1,B,2,72.4873,72.9273,False
X3,1,B,2,72.9273,74.5872,False
#,1,B,2,74.5872,75.1299,False
O,1,B,2,75.1299,76.8572,True
BC,1,B,3,85.7053,86.0154,False
#,1,B,3,86.0154,91.9202,False
S,1,B,3,91.9202,92.1303,False
#,1,B,3,92.1303,92.6713,False
X3,1,B,3,92.6713,92.8788,False
#,1,B,3,92.8788,93.7163,False
S,1,B,3,93.7163,94.4502,False
#,1,B,3,94.4502,95.5065,False
BI,1,B,3,95.5065,95.6502,True
#,1,B,3,95.6502,97.3456,False
BI,1,B,3,97.3456,97.61,True
#,1,B,3,97.61,97.6856,False
O,1,B,3,97.6856,100.1303,True
#,1,B,3,100.1303,100.9501,False
S,1,B,3,100.9501,103.0659,False
#,1,B,3,103.0659,105.0401,False
S,1,B,3,105.0401,116.4005,False
PI,1,B,4,123.2719,123.9889,False
#,1,B,4,123.9889,124.6276,False
S,1,B,4,124.6276,125.7505,False
#,1,B,4,125.7505,126.8876,False
X2,1,B,4,126.8876,128.9334,False
#,1,B,4,128.9334,129.7529,False
S,1,B,4,129.7529,131.0676,False
#,1,B,4,131.0676,131.8293,False
A,1,B,4,131.8293,132.3376,False
#,1,B,4,132.3376,133.1058,False
I,1,B,4,133.1058,144.247,True
#,1,B,4,144.247,144.8097,False
X2_O,1,B,4,144.8097,154.0452,False
#,1,B,4,154.0452,155.027,False
X2,1,B,4,155.027,162.656,False
#,1,B,4,162.656,162.837,False
S,1,B,4,162.837,170.0097,False
#,1,B,4,170.0097,170.4532,False
X3,1,B,4,170.4532,170.712,False
#,1,B,4,170.712,171.3986,False
S,1,B,4,171.3986,173.5555,False
S,1,B,5,182.0642,183.2978,False
#,1,B,5,183.2978,187.4609,False
BC,1,B,5,187.4609,187.954,False
#,1,B,5,187.954,194.5708,False
S,1,B,5,194.5708,195.2544,False
#,1,B,5,195.2544,198.4061,False
S,1,B,5,198.4061,198.7448,False
#,1,B,5,198.7448,199.4826,False
S,1,B,5,199.4826,200.1161,False
#,1,B,5,200.1161,200.239,False
A,1,B,5,200.239,201.6946,False
#,1,B,5,201.6946,207.4217,False
S,1,B,5,207.4217,216.0094,False
#,1,B,5,216.0094,220.1029,False
S,1,B,5,220.1029,222.4067,False
#,1,B,5,222.4067,229.1326,False
S,1,B,5,229.1326,229.2726,False
X1,1,B,6,252.3086,253.2189,False
#,1,B,6,253.2189,253.4464,False
X3,1,B,6,253.4464,253.7226,False
#,1,B,6,253.7226,254.4515,False
I,1,B,6,254.4515,255.4559,True
#,1,B,6,255.4559,255.8852,False
A,1,B,6,255.8852,256.6989,False
#,1,B,6,256.6989,258.5674,False
S,1,B,6,258.5674,261.5018,False
#,1,B,6,261.5018,263.1814,False
O,1,B,6,263.1814,263.5124,True
#,1,B,6,263.5124,264.2885,False
S,1,B,6,264.2885,281.1084,False
#,1,B,6,281.1084,282.3696,False
A,1,B,6,282.3696,289.6367,False
#,1,B,6,289.6367,289.9436,False
X2_O,1,B,6,289.9436,291.7522,False
BC,1,B,7,303.7184,304.1114,False
#,1,B,7,304.1114,311.8707,False
O,1,B,7,311.8707,313.0908,True
#,1,B,7,313.0908,314.3184,False
S,1,B,7,314.3184,315.6501,False
#,1,B,7,315.6501,322.8159,False
S,1,B,7,322.8159,325.3975,False
X1,1,B,8,345.6926,346.4915,False
#,1,B,8,346.4915,347.2615,False
X2,1,B,8,347.2615,348.6415,False
#,1,B,8,348.6415,350.3765,False
S,1,B,8,350.3765,350.8954,False
#,1,B,8,350.8954,354.7779,False
S,1,B,8,354.7779,361.0805,False
#,1,B,8,361.0805,361.2152,False
X3,1,B,8,361.2152,361.6167,False
#,1,B,8,361.6167,361.8259,False
S,1,B,8,361.8259,363.2752,False
#,1,B,8,363.2752,363.5645,False
BC,1,B,9,389.3268,389.6319,False
#,1,B,9,389.6319,392.158,False
S,1,B,9,392.158,392.6933,False
#,1,B,9,392.6933,399.6969,False
BC,1,B,9,399.6969,399.939,False
#,1,B,9,399.939,401.1593,False
BC,1,B,9,401.1593,401.5731,False
#,1,B,9,401.5731,403.0949,False
BC,1,B,9,403.0949,403.8102,False
#,1,B,9,403.8102,405.5571,False
S,1,B,9,405.5571,405.8918,False
#,1,B,9,405.8918,406.0181,False
PI,1,B,9,406.0181,406.379,False
#,1,B,9,406.379,407.5384,False
S,1,B,9,407.5384,408.8168,False
#,1,B,9,408.8168,409.0514,False
X3,1,B,9,409.0514,410.1171,False
#,1,B,9,410.1171,411.8053,False
BC_O,1,B,9,411.8053,412.1641,False
#,1,B,9,412.1641,414.8694,False
S,1,B,9,414.8694,416.5024,False
#,1,B,9,416.5024,420.744,False
PI,1,B,9,420.744,421.1964,False
#,1,B,9,421.1964,422.2378,False
S,1,B,9,422.2378,423.908,False
#,1,B,9,423.908,427.2824,False
I,1,B,9,427.2824,431.7812,True
#,1,B,9,431.7812,433.4228,False
O,1,B,9,433.4228,433.8452,True
#,1,B,9,433.8452,434.0624,False
O,1,B,9,434.0624,435.1427,True
#,1,B,9,435.1427,435.7456,False
O,1,B,9,435.7456,441.7367,True
#,1,B,9,441.7367,452.6334,False
BC,1,B,9,452.6334,452.9734,False
#,1,B,9,452.9734,457.103,False
S,1,B,9,457.103,469.9366,False
#,1,B,9,469.9366,472.2675,False
S,1,B,9,472.2675,476.3464,False
#,1,B,9,476.3464,478.4916,False
S,1,B,9,478.4916,478.9616,False
#,1,B,9,478.9616,479.5116,False
S,1,B,9,479.5116,480.6517,False
S,1,B,10,485.1683,488.3052,False
#,1,B,10,488.3052,491.7644,False
X2,1,B,10,491.7644,493.0794,False
#,1,B,10,493.0794,494.9058,False
O,1,B,10,494.9058,495.2599,True
#,1,B,10,495.2599,495.6447,False
S,1,B,10,495.6447,509.2414,False
#,1,B,10,509.2414,511.0073,False
X2,1,B,10,511.0073,519.7339,False
#,1,B,10,519.7339,520.9937,False
A,1,B,10,520.9937,521.4396,False
#,1,B,10,521.4396,521.636,False
X3,1,B,10,521.636,525.6089,False
#,1,B,10,525.6089,526.5157,False
X2,1,B,10,526.5157,537.3228,False
#,1,B,10,537.3228,538.2336,False
X2,1,B,10,538.2336,548.1039,False
#,1,B,10,548.1039,548.3803,False
X3,1,B,10,548.3803,557.2739,False
#,1,B,10,557.2739,557.6939,False
X3,1,B,10,557.6939,559.4477,False
#,1,B,10,559.4477,559.8485,False
A,1,B,10,559.8485,561.2839,False
#,1,B,10,561.2839,561.5386,False
O,1,B,10,561.5386,565.2939,True
BC,1,B,11,576.5564,576.8464,False
#,1,B,11,576.8464,581.8477,False
O,1,B,11,581.8477,582.3401,True
#,1,B,11,582.3401,583.3235,False
O,1,B,11,583.3235,583.8985,True
#,1,B,11,583.8985,588.9318,False
S,1,B,11,588.9318,589.3018,False
#,1,B,11,589.3018,589.6518,False
X3,1,B,11,589.6518,590.1286,False
#,1,B,11,590.1286,594.7951,False
BC,1,B,11,594.7951,595.1004,False
#,1,B,11,595.1004,597.8012,False
PI,1,B,11,597.8012,598.2513,False
#,1,B,11,598.2513,601.6591,False
PI,1,B,11,601.6591,602.1718,False
#,1,B,11,602.1718,604.8377,False
O,1,B,11,604.8377,605.6543,True
#,1,B,11,605.6543,606.9942,False
X3,1,B,11,606.9942,607.9642,False
#,1,B,11,607.9642,612.697,False
S,1,B,11,612.697,615.8669,False
X1,1,B,12,621.5342,622.3444,False
#,1,B,12,622.3444,623.3144,False
X2,1,B,12,623.3144,624.3207,False
#,1,B,12,624.3207,626.8027,False
A,1,B,12,626.8027,627.1077,False
#,1,B,12,627.1077,627.575,False
PI,1,B,12,627.575,629.8898,False
#,1,B,12,629.8898,631.4149,False
S,1,B,12,631.4149,633.0298,False
#,1,B,12,633.0298,633.9098,False
S,1,B,12,633.9098,638.1208,False
#,1,B,12,638.1208,639.3684,False
X2,1,B,12,639.3684,641.2354,False
#,1,B,12,641.2354,641.3949,False
X3,1,B,12,641.3949,641.7367,False
#,1,B,12,641.7367,642.1683,False
A,1,B,12,642.1683,644.6859,False
#,1,B,12,644.6859,645.4739,False
S,1,B,12,645.4739,652.6523,False
#,1,B,12,652.6523,653.9367,False
S,1,B,12,653.9367,654.0758,False
#,1,B,12,654.0758,654.5604,False
X3,1,B,12,654.5604,654.9265,False
#,1,B,12,654.9265,658.6537,False
S,1,B,12,658.6537,662.0498,False
#,1,B,12,662.0498,663.3211,False
S,1,B,12,663.3211,663.6298,False
#,1,B,12,663.6298,664.4222,False
X3,1,B,12,664.4222,664.7492,False
#,1,B,12,664.7492,665.4398,False
S,1,B,12,665.4398,669.8943,False
#,1,B,12,669.8943,671.1904,False
O,1,B,12,671.1904,671.5577,True
#,1,B,12,671.5577,671.664,False
I,1,B,12,671.664,688.2548,True
#,1,B,12,688.2548,689.0098,False
X2,1,B,12,689.0098,693.0989,False
#,1,B,12,693.0989,693.814,False
S,1,B,12,693.814,698.1371,False
#,1,B,12,698.1371,698.3814,False
BI,1,B,12,698.3814,698.6376,True
#,1,B,12,698.6376,698.8189,False
O,1,B,12,698.8189,699.837,True
#,1,B,12,699.837,700.1404,False
A,1,B,12,700.1404,700.4162,False
S,1,B,13,707.5499,709.0423,False
#,1,B,13,709.0423,715.5484,False
S,1,B,13,715.5484,716.5454,False
#,1,B,13,716.5454,719.7432,False
S,1,B,13,719.7432,720.2733,False
#,1,B,13,720.2733,723.6913,False
O,1,B,13,723.6913,723.9277,True
#,1,B,13,723.9277,724.538,False
S,1,B,13,724.538,725.3811,False
#,1,B,13,725.3811,727.1234,False
O,1,B,13,727.1234,729.8441,True
#,1,B,13,729.8441,731.41,False
S,1,B,13,731.41,732.6278,False
#,1,B,13,732.6278,733.0236,False
O,1,B,13,733.0236,735.2972,True
#,1,B,13,735.2972,736.1836,False
S,1,B,13,736.1836,736.7704,False
#,1,B,13,736.7704,737.0442,False
BC,1,B,13,737.0442,737.4479,False
#,1,B,13,737.4479,741.4411,False
BC_O,1,B,13,741.4411,741.8918,False
#,1,B,13,741.8918,744.2378,False
O,1,B,13,744.2378,748.8278,True
#,1,B,13,748.8278,751.1757,False
S,1,B,13,751.1757,758.8998,False
#,1,B,13,758.8998,761.5151,False
S,1,B,13,761.5151,764.2334,False
X1,1,B,14,772.0576,772.7136,False
#,1,B,14,772.7136,774.3983,False
X2,1,B,14,774.3983,777.5233,False
#,1,B,14,777.5233,779.4854,False
S,1,B,14,779.4854,779.9069,False
#,1,B,14,779.9069,782.0487,False
I,1,B,14,782.0487,784.4042,True
#,1,B,14,784.4042,786.7391,False
A,1,B,14,786.7391,794.1891,False
#,1,B,14,794.1891,795.8691,False
A,1,B,14,795.8691,804.2191,False
#,1,B,14,804.2191,807.1286,False
S,1,B,14,807.1286,808.7933,False
#,1,B,14,808.7933,808.9686,False
X3,1,B,14,808.9686,810.9731,False
#,1,B,14,810.9731,811.3967,False
X3,1,B,14,811.3967,812.8017,False
#,1,B,14,812.8017,813.4688,False
S,1,B,14,813.4688,814.0321,False
#,1,B,14,814.0321,814.1464,False
BI,1,B,14,814.1464,814.4635,True
#,1,B,14,814.4635,815.044,False
BI,1,B,14,815.044,815.3886,True
#,1,B,14,815.3886,815.5818,False
S,1,B,14,815.5818,822.029,False
#,1,B,14,822.029,823.3139,False
O,1,B,14,823.3139,824.0211,True
#,1,B,14,824.0211,826.1534,False
S,1,B,14,826.1534,826.8034,False
#,1,B,14,826.8034,828.2084,False
S,1,B,14,828.2084,829.669,False
#,1,B,14,829.669,832.2646,False
O,1,B,14,832.2646,832.9273,True
#,1,B,14,832.9273,833.4606,False
S,1,B,14,833.4606,848.2695,False
#,1,B,14,848.2695,848.9708,False
O,1,B,14,848.9708,850.3456,True
#,1,B,14,850.3456,854.4191,False
PI,1,B,14,854.4191,855.3591,False
#,1,B,14,855.3591,855.8191,False
X3,1,B,14,855.8191,857.0916,False
S,2,A,1,1.4843,8.3428,False
#,2,A,1,8.3428,10.7028,False
A,2,A,1,10.7028,17.7481,False
S,2,A,2,60.0828,61.5123,False
X1,2,A,3,67.7787,79.2282,False
S,2,A,4,109.4652,112.6405,False
#,2,A,4,112.6405,113.2473,False
X3,2,A,4,113.2473,113.8985,False
#,2,A,4,113.8985,117.5589,False
S,2,A,4,117.5589,118.0303,False
#,2,A,4,118.0303,120.6764,False
S,2,A,4,120.6764,121.194,False
X1,2,A,5,132.9704,135.1956,False
#,2,A,5,135.1956,136.7275,False
S,2,A,5,136.7275,159.4951,False
S,2,A,6,207.3878,209.1413,False
#,2,A,6,209.1413,209.7451,False
O,2,A,6,209.7451,210.5922,True
X1,2,A,7,229.3409,238.0509,False
#,2,A,7,238.0509,241.8871,False
S,2,A,7,241.8871,251.2789,False
S,2,A,8,270.9393,273.4058,False
X1,2,A,9,283.5734,288.6482,False
#,2,A,9,288.6482,292.5449,False
PI,2,A,9,292.5449,292.9049,False
#,2,A,9,292.9049,293.7583,False
O,2,A,9,293.7583,299.5144,True
#,2,A,9,299.5144,300.7431,False
X3,2,A,9,300.7431,301.1956,False
#,2,A,9,301.1956,302.5886,False
S,2,A,9,302.5886,304.9366,False
#,2,A,9,304.9366,305.7522,False
S,2,A,9,305.7522,308.0329,False
#,2,A,9,308.0329,309.0228,False
X2_O,2,A,9,309.0228,312.4109,False
#,2,A,9,312.4109,316.2533,False
S,2,A,9,316.2533,317.7633,False
#,2,A,9,317.7633,318.1886,False
X3,2,A,9,318.1886,318.4224,False
#,2,A,9,318.4224,318.4637,False
O,2,A,9,318.4637,319.3001,True
#,2,A,9,319.3001,319.6723,False
X3,2,A,9,319.6723,319.9921,False
#,2,A,9,319.9921,323.4512,False
S,2,A,9,323.4512,327.1979,False
BC,2,A,10,349.6729,349.925,False
#,2,A,10,349.925,350.6027,False
BC,2,A,10,350.6027,350.8864,False
#,2,A,10,350.8864,357.1774,False
S,2,A,10,357.1774,359.0121,False
X1,2,A,11,370.4751,375.3707,False
#,2,A,11,375.3707,376.1426,False
S,2,A,11,376.1426,381.5451,False
#,2,A,11,381.5451,381.9351,False
O,2,A,11,381.9351,390.8551,True
#,2,A,11,390.8551,394.3063,False
S,2,A,11,394.3063,396.6357,False
#,2,A,11,396.6357,400.1751,False
S,2,A,11,400.1751,400.6558,False
#,2,A,11,400.6558,401.4044,False
S,2,A,11,401.4044,402.0111,False
#,2,A,11,402.0111,402.7231,False
BI,2,A,11,402.7231,403.5151,True
#,2,A,11,403.5151,404.3555,False
S,2,A,11,404.3555,410.3112,False
#,2,A,11,410.3112,411.9215,False
S,2,A,11,411.9215,412.6722,False
