tt_label,session_number,speaker2,task,ipu2_start_time,ipu2_end_time,overlapped_transition
#,01,B,2,74.5872,75.1299,False
O,01,B,2,75.1299,76.8572,True
BC,01,B,3,85.7053,86.0154,False
#,01,B,3,86.0154,91.9202,False
S,01,B,3,91.9202,92.1303,False
#,01,B,3,92.1303,92.6713,False
X3,01,B,3,92.6713,92.8788,False
#,01,B,3,92.8788,93.7163,False
S,01,B,3,93.7163,94.4502,False
#,01,B,3,94.4502,95.5065,False
BI,01,B,3,95.5065,95.6502,True
#,01,B,3,95.6502,97.3456,False
BI,01,B,3,97.3456,97.61,True
#,01,B,3,97.61,97.6856,False
O,01,B,3,97.6856,100.1303,True
#,01,B,3,100.1303,100.9501,False
S,01,B,3,100.9501,103.0659,False
#,01,B,3,103.0659,105.0401,False
S,01,B,3,105.0401,116.4005,False
PI,01,B,4,123.2719,123.9889,False
#,01,B,4,123.9889,124.6276,False
S,01,B,4,124.6276,125.7505,False
#,01,B,4,125.7505,126.8876,False
X2,01,B,4,126.8876,128.9334,False
#,01,B,4,128.9334,129.7529,False
S,01,B,4,129.7529,131.0676,False
#,01,B,4,131.0676,131.8293,False
A,01,B,4,131.8293,132.3376,False
#,01,B,4,132.3376,133.1058,False
I,01,B,4,133.1058,144.247,True
#,01,B,4,144.247,144.8097,False
X2_O,01,B,4,144.8097,154.0452,False
#,01,B,4,154.0452,155.027,False
X2,01,B,4,155.027,162.656,False
#,01,B,4,162.656,162.837,False
S,01,B,4,162.837,170.0097,False
#,01,B,4,170.0097,170.4532,False
X3,01,B,4,170.4532,170.712,False
#,01,B,4,170.712,171.3986,False
S,01,B,4,171.3986,173.5555,False
S,01,B,5,182.0642,183.2978,False
#,01,B,5,183.2978,187.4609,False
BC,01,B,5,187.4609,187.954,False
#,01,B,5,187.954,194.5708,False
S,01,B,5,194.5708,195.2544,False
#,01,B,5,195.2544,198.4061,False
S,01,B,5,198.4061,198.7448,False
#,01,B,5,198.7448,199.4826,False
S,01,B,5,199.4826,200.1161,False
#,01,B,5,200.1161,200.239,False
A,01,B,5,200.239,201.6946,False
#,01,B,5,201.6946,207.4217,False
S,01,B,5,207.4217,216.0094,False
#,01,B,5,216.0094,220.1029,False
S,01,B,5,220.1029,222.4067,False
#,01,B,5,222.4067,229.1326,False
S,01,B,5,229.1326,229.2726,False
X1,01,B,6,252.3086,253.2189,False
#,01,B,6,253.2189,253.4464,False
X3,01,B,6,253.4464,253.7226,False
#,01,B,6,253.7226,254.4515,False
I,01,B,6,254.4515,255.4559,True
#,01,B,6,255.4559,255.8852,False
A,01,B,6,255.8852,256.6989,False
#,01,B,6,256.6989,258.5674,False
S,01,B,6,258.5674,261.5018,False
#,01,B,6,261.5018,263.1814,False
O,01,B,6,263.1814,263.5124,True
#,01,B,6,263.5124,264.2885,False
S,01,B,6,264.2885,281.1084,False
#,01,B,6,281.1084,282.3696,False
A,01,B,6,282.3696,289.6367,False
#,01,B,6,289.6367,289.9436,False
X2_O,01,B,6,289.9436,291.7522,False
BC,01,B,7,303.7184,304.1114,False
#,01,B,7,304.1114,311.8707,False
O,01,B,7,311.8707,313.0908,True
#,01,B,7,313.0908,314.3184,False
S,01,B,7,314.3184,315.6501,False
#,01,B,7,315.6501,322.8159,False
S,01,B,7,322.8159,325.3975,False
X1,01,B,8,345.6926,346.4915,False
#,01,B,8,346.4915,347.2615,False
X2,01,B,8,347.2615,348.6415,False
#,01,B,8,348.6415,350.3765,False
S,01,B,8,350.3765,350.8954,False
#,01,B,8,350.8954,354.7779,False
S,01,B,8,354.7779,361.0805,False
#,01,B,8,361.0805,361.2152,False
X3,01,B,8,361.2152,361.6167,False
#,01,B,8,361.6167,361.8259,False
S,01,B,8,361.8259,363.2752,False
#,01,B,8,363.2752,363.5645,False
BC,01,B,9,389.3268,389.6319,False
#,01,B,9,389.6319,392.158,False
S,01,B,9,392.158,392.6933,False
#,01,B,9,392.6933,399.6969,False
BC,01,B,9,399.6969,399.939,False
#,01,B,9,399.939,401.1593,False
BC,01,B,9,401.1593,401.5731,False
#,01,B,9,401.5731,403.0949,False
BC,01,B,9,403.0949,403.8102,False
#,01,B,9,403.8102,405.5571,False
S,01,B,9,405.5571,405.8918,False
#,01,B,9,405.8918,406.0181,False
PI,01,B,9,406.0181,406.379,False
#,01,B,9,406.379,407.5384,False
S,01,B,9,407.5384,408.8168,False
#,01,B,9,408.8168,409.0514,False
X3,01,B,9,409.0514,410.1171,False
#,01,B,9,410.1171,411.8053,False
BC_O,01,B,9,411.8053,412.1641,False
#,01,B,9,412.1641,414.8694,False
S,01,B,9,414.8694,416.5024,False
#,01,B,9,416.5024,420.744,False
PI,01,B,9,420.744,421.1964,False
#,01,B,9,421.1964,422.2378,False
S,01,B,9,422.2378,423.908,False
#,01,B,9,423.908,427.2824,False
I,01,B,9,427.2824,431.7812,True
#,01,B,9,431.7812,433.4228,False
O,01,B,9,433.4228,433.8452,True
#,01,B,9,433.8452,434.0624,False
O,01,B,9,434.0624,435.1427,True
#,01,B,9,435.1427,435.7456,False
O,01,B,9,435.7456,441.7367,True
#,01,B,9,441.7367,452.6334,False
BC,01,B,9,452.6334,452.9734,False
#,01,B,9,452.9734,457.103,False
S,01,B,9,457.103,469.9366,False
#,01,B,9,469.9366,472.2675,False
S,01,B,9,472.2675,476.3464,False
#,01,B,9,476.3464,478.4916,False
S,01,B,9,478.4916,478.9616,False
#,01,B,9,478.9616,479.5116,False
S,01,B,9,479.5116,480.6517,False
S,01,B,10,485.1683,488.3052,False
#,01,B,10,488.3052,491.7644,False
X2,01,B,10,491.7644,493.0794,False
#,01,B,10,493.0794,494.9058,False
O,01,B,10,494.9058,495.2599,True
#,01,B,10,495.2599,495.6447,False
S,01,B,10,495.6447,509.2414,False
#,01,B,10,509.2414,511.0073,False
X2,01,B,10,511.0073,519.7339,False
#,01,B,10,519.7339,520.9937,False
A,01,B,10,520.9937,521.4396,False
#,01,B,10,521.4396,521.636,False
X3,01,B,10,521.636,525.6089,False
#,01,B,10,525.6089,526.5157,False
X2,01,B,10,526.5157,537.3228,False
#,01,B,10,537.3228,538.2336,False
X2,01,B,10,538.2336,548.1039,False
#,01,B,10,548.1039,548.3803,False
X3,01,B,10,548.3803,557.2739,False
#,01,B,10,557.2739,557.6939,False
X3,01,B,10,557.6939,559.4477,False
#,01,B,10,559.4477,559.8485,False
A,01,B,10,559.8485,561.2839,False
#,01,B,10,561.2839,561.5386,False
O,01,B,10,561.5386,565.2939,True
BC,01,B,11,576.5564,576.8464,False
#,01,B,11,576.8464,581.8477,False
O,01,B,11,581.8477,582.3401,True
#,01,B,11,582.3401,583.3235,False
O,01,B,11,583.3235,583.8985,True
#,01,B,11,583.8985,588.9318,False
S,01,B,11,588.9318,589.3018,False
#,01,B,11,589.3018,589.6518,False
X3,01,B,11,589.6518,590.1286,False
#,01,B,11,590.1286,594.7951,False
BC,01,B,11,594.7951,595.1004,False
#,01,B,11,595.1004,597.8012,False
PI,01,B,11,597.8012,598.2513,False
#,01,B,11,598.2513,601.6591,False
PI,01,B,11,601.6591,602.1718,False
#,01,B,11,602.1718,604.8377,False
O,01,B,11,604.8377,605.6543,True
#,01,B,11,605.6543,606.9942,False
X3,01,B,11,606.9942,607.9642,False
#,01,B,11,607.9642,612.697,False
S,01,B,11,612.697,615.8669,False
X1,01,B,12,621.5342,622.3444,False
#,01,B,12,622.3444,623.3144,False
X2,01,B,12,623.3144,624.3207,False
#,01,B,12,624.3207,626.8027,False
A,01,B,12,626.8027,627.1077,False
#,01,B,12,627.1077,627.575,False
PI,01,B,12,627.575,629.8898,False
#,01,B,12,629.8898,631.4149,False
S,01,B,12,631.4149,633.0298,False
#,01,B,12,633.0298,633.9098,False
S,01,B,12,633.9098,638.1208,False
#,01,B,12,638.1208,639.3684,False
X2,01,B,12,639.3684,641.2354,False
#,01,B,12,641.2354,641.3949,False
X3,01,B,12,641.3949,641.7367,False
#,01,B,12,641.7367,642.1683,False
A,01,B,12,642.1683,644.6859,False
#,01,B,12,644.6859,645.4739,False
S,01,B,12,645.4739,652.6523,False
#,01,B,12,652.6523,653.9367,False
S,01,B,12,653.9367,654.0758,False
#,01,B,12,654.0758,654.5604,False
X3,01,B,12,654.5604,654.9265,False
#,01,B,12,654.9265,658.6537,False
S,01,B,12,658.6537,662.0498,False
#,01,B,12,662.0498,663.3211,False
S,01,B,12,663.3211,663.6298,False
#,01,B,12,663.6298,664.4222,False
X3,01,B,12,664.4222,664.7492,False
#,01,B,12,664.7492,665.4398,False
S,01,B,12,665.4398,669.8943,False
#,01,B,12,669.8943,671.1904,False
O,01,B,12,671.1904,671.5577,True
#,01,B,12,671.5577,671.664,False
I,01,B,12,671.664,688.2548,True
#,01,B,12,688.2548,689.0098,False
X2,01,B,12,689.0098,693.0989,False
#,01,B,12,693.0989,693.814,False
S,01,B,12,693.814,698.1371,False
#,01,B,12,698.1371,698.3814,False
BI,01,B,12,698.3814,698.6376,True
#,01,B,12,698.6376,698.8189,False
O,01,B,12,698.8189,699.837,True
#,01,B,12,699.837,700.1404,False
A,01,B,12,700.1404,700.4162,False
S,01,B,13,707.5499,709.0423,False
#,01,B,13,709.0423,715.5484,False
S,01,B,13,715.5484,716.5454,False
#,01,B,13,716.5454,719.7432,False
S,01,B,13,719.7432,720.2733,False
#,01,B,13,720.2733,723.6913,False
O,01,B,13,723.6913,723.9277,True
#,01,B,13,723.9277,724.538,False
S,01,B,13,724.538,725.3811,False
#,01,B,13,725.3811,727.1234,False
O,01,B,13,727.1234,729.8441,True
#,01,B,13,729.8441,731.41,False
S,01,B,13,731.41,732.6278,False
#,01,B,13,732.6278,733.0236,False
O,01,B,13,733.0236,735.2972,True
#,01,B,13,735.2972,736.1836,False
S,01,B,13,736.1836,736.7704,False
#,01,B,13,736.7704,737.0442,False
BC,01,B,13,737.0442,737.4479,False
#,01,B,13,737.4479,741.4411,False
BC_O,01,B,13,741.4411,741.8918,False
#,01,B,13,741.8918,744.2378,False
O,01,B,13,744.2378,748.8278,True
#,01,B,13,748.8278,751.1757,False
S,01,B,13,751.1757,758.8998,False
#,01,B,13,758.8998,761.5151,False
S,01,B,13,761.5151,764.2334,False
X1,01,B,14,772.0576,772.7136,False
#,01,B,14,772.7136,774.3983,False
X2,01,B,14,774.3983,777.5233,False
#,01,B,14,777.5233,779.4854,False
S,01,B,14,779.4854,779.9069,False
#,01,B,14,779.9069,782.0487,False
I,01,B,14,782.0487,784.4042,True
#,01,B,14,784.4042,786.7391,False
A,01,B,14,786.7391,794.1891,False
#,01,B,14,794.1891,795.8691,False
A,01,B,14,795.8691,804.2191,False
#,01,B,14,804.2191,807.1286,False
S,01,B,14,807.1286,808.7933,False
#,01,B,14,808.7933,808.9686,False
X3,01,B,14,808.9686,810.9731,False
#,01,B,14,810.9731,811.3967,False
X3,01,B,14,811.3967,812.8017,False
#,01,B,14,812.8017,813.4688,False
S,01,B,14,813.4688,814.0321,False
#,01,B,14,814.0321,814.1464,False
BI,01,B,14,814.1464,814.4635,True
#,01,B,14,814.4635,815.044,False
BI,01,B,14,815.044,815.3886,True
#,01,B,14,815.3886,815.5818,False
S,01,B,14,815.5818,822.029,False
#,01,B,14,822.029,823.3139,False
O,01,B,14,823.3139,824.0211,True
#,01,B,14,824.0211,826.1534,False
S,01,B,14,826.1534,826.8034,False
#,01,B,14,826.8034,828.2084,False
S,01,B,14,828.2084,829.669,False
#,01,B,14,829.669,832.2646,False
O,01,B,14,832.2646,832.9273,True
#,01,B,14,832.9273,833.4606,False
S,01,B,14,833.4606,848.2695,False
#,01,B,14,848.2695,848.9708,False
O,01,B,14,848.9708,850.3456,True
#,01,B,14,850.3456,854.4191,False
PI,01,B,14,854.4191,855.3591,False
#,01,B,14,855.3591,855.8191,False
X3,01,B,14,855.8191,857.0916,False
S,02,A,1,1.4843,8.3428,False
#,02,A,1,8.3428,10.7028,False
A,02,A,1,10.7028,17.7481,False
S,02,A,2,60.0828,61.5123,False
X1,02,A,3,67.7787,79.2282,False
S,02,A,4,109.4652,112.6405,False
#,02,A,4,112.6405,113.2473,False
X3,02,A,4,113.2473,113.8985,False
#,02,A,4,113.8985,117.5589,False
S,02,A,4,117.5589,118.0303,False
#,02,A,4,118.0303,120.6764,False
S,02,A,4,120.6764,121.194,False
X1,02,A,5,132.9704,135.1956,False
#,02,A,5,135.1956,136.7275,False
S,02,A,5,136.7275,159.4951,False
S,02,A,6,207.3878,209.1413,False
#,02,A,6,209.1413,209.7451,False
O,02,A,6,209.7451,210.5922,True
X1,02,A,7,229.3409,238.0509,False
#,02,A,7,238.0509,241.8871,False
S,02,A,7,241.8871,251.2789,False
S,02,A,8,270.9393,273.4058,False
X1,02,A,9,283.5734,288.6482,False
#,02,A,9,288.6482,292.5449,False
PI,02,A,9,292.5449,292.9049,False
#,02,A,9,292.9049,293.7583,False
O,02,A,9,293.7583,299.5144,True
#,02,A,9,299.5144,300.7431,False
X3,02,A,9,300.7431,301.1956,False
#,02,A,9,301.1956,302.5886,False
S,02,A,9,302.5886,304.9366,False
#,02,A,9,304.9366,305.7522,False
S,02,A,9,305.7522,308.0329,False
#,02,A,9,308.0329,309.0228,False
X2_O,02,A,9,309.0228,312.4109,False
#,02,A,9,312.4109,316.2533,False
S,02,A,9,316.2533,317.7633,False
#,02,A,9,317.7633,318.1886,False
X3,02,A,9,318.1886,318.4224,False
#,02,A,9,318.4224,318.4637,False
O,02,A,9,318.4637,319.3001,True
#,02,A,9,319.3001,319.6723,False
X3,02,A,9,319.6723,319.9921,False
#,02,A,9,319.9921,323.4512,False
S,02,A,9,323.4512,327.1979,False
BC,02,A,10,349.6729,349.925,False
#,02,A,10,349.925,350.6027,False
BC,02,A,10,350.6027,350.8864,False
#,02,A,10,350.8864,357.1774,False
S,02,A,10,357.1774,359.0121,False
X1,02,A,11,370.4751,375.3707,False
#,02,A,11,375.3707,376.1426,False
S,02,A,11,376.1426,381.5451,False
#,02,A,11,381.5451,381.9351,False
O,02,A,11,381.9351,390.8551,True
#,02,A,11,390.8551,394.3063,False
S,02,A,11,394.3063,396.6357,False
#,02,A,11,396.6357,400.1751,False
S,02,A,11,400.1751,400.6558,False
#,02,A,11,400.6558,401.4044,False
S,02,A,11,401.4044,402.0111,False
#,02,A,11,402.0111,402.7231,False
BI,02,A,11,402.7231,403.5151,True
#,02,A,11,403.5151,404.3555,False
S,02,A,11,404.3555,410.3112,False
#,02,A,11,410.3112,411.9215,False
S,02,A,11,411.9215,412.6722,False
